"sample" "diphtong" "speaker" "T2_0%" "T2_10%" "T2_20%" "T2_30%" "T2_40%" "T2_50%" "T2_60%" "T2_70%" "T2_80%" "T2_90%" "T2_100%"
"1" 1 "aI" "M" 1376 1373.8813559322 1374.8813559322 1378.72881355932 1420.57627118644 1476.25423728814 1507.08474576271 1587.81355932203 1679.66101694915 1713.89830508475 1592
"2" 2 "aI" "M" 1250 1218.98305084746 1217.25423728814 1231.18644067797 1260.20338983051 1279.1186440678 1355.66101694915 1420.96610169492 1493.74576271186 1511.20338983051 1502
"3" 3 "aI" "M" 1159 1223.25423728814 1294.81355932203 1328.37288135593 1418.66101694915 1515.40677966102 1566.84745762712 1656.28813559322 1752.15254237288 1767.61016949153 1666
"4" 4 "aU" "M" 1359 1351.18644067797 1288.5593220339 1179.47457627119 1099.10169491525 1063.05084745763 1035.74576271186 959.169491525424 922.322033898305 882.796610169491 891
"5" 5 "aI" "M" 1416 1373.8813559322 1299.1186440678 1264.28813559322 1295.06779661017 1369.52542372881 1478.13559322034 1592.18644067797 1746.03389830508 1786.08474576271 1778
"6" 6 "aI" "M" 1431 1439.15254237288 1448.86440677966 1499.94915254237 1516.32203389831 1567.77966101695 1602 1748.69491525424 1790.61016949153 1833.74576271186 1828
"7" 7 "aU" "M" 1062 1011.84745762712 949.050847457627 908.864406779661 881.050847457627 878.661016949153 905.016949152542 946.847457627119 982.135593220339 1113.27118644068 1178
"8" 8 "OY" "M" 1061 1095.47457627119 1133.16949152542 1199.08474576271 1283.98305084746 1331.40677966102 1484.96610169492 1545.71186440678 1603.1186440678 1665.57627118644 1696
"9" 9 "OY" "M" 1021 1059.67796610169 1084.84745762712 1129.33898305085 1194.23728813559 1337.38983050847 1504.93220338983 1601.93220338983 1779.33898305085 1834.61016949153 1856
"10" 10 "aI" "M" 1328 1317.16949152542 1360.62711864407 1422.93220338983 1504.8813559322 1568.15254237288 1682.05084745763 1809.16949152542 1895 1856.77966101695 1750
"11" 11 "aU" "M" 999 980.033898305085 978.661016949153 972.559322033898 954.101694915254 943.694915254237 937.084745762712 922.237288135593 895.203389830509 893.423728813559 867
"12" 12 "aI" "M" 1052 1097.28813559322 1155.28813559322 1240.01694915254 1433.76271186441 1527.91525423729 1546.57627118644 1681.37288135593 1755.52542372881 1559.59322033898 1414
"13" 13 "OY" "M" 1016 1002.33898305085 960.169491525424 993.118644067797 1041.98305084746 1134.96610169492 1254.18644067797 1378.91525423729 1507.50847457627 1528.38983050847 1387
"14" 14 "aI" "M" 1477 1516.64406779661 1510.66101694915 1539.33898305085 1561.93220338983 1572.06779661017 1602.57627118644 1717.76271186441 1728.54237288136 1693.98305084746 1665
"15" 15 "aI" "M" 1295 1341.01694915254 1328.03389830508 1319.08474576271 1352.8813559322 1424.01694915254 1553.98305084746 1701.89830508475 1797.77966101695 1795.91525423729 1630
"16" 16 "aI" "M" 1137 1144.32203389831 1190.25423728814 1237.5593220339 1298.35593220339 1363.16949152542 1499.45762711864 1653.22033898305 1798.30508474576 1941.8813559322 1920
