"sample" "diphtong" "speaker" "T3_0%" "T3_10%" "T3_20%" "T3_30%" "T3_40%" "T3_50%" "T3_60%" "T3_70%" "T3_80%" "T3_90%" "T3_100%"
"1" 1 "aI" "M" 2621 2580.10169491525 2533.30508474576 2498.23728813559 2505.69491525424 2522.79661016949 2516.42372881356 2491.28813559322 2503.1186440678 2462.71186440678 2408
"2" 2 "aI" "M" 2436 2493.71186440678 2512.35593220339 2503.64406779661 2477.64406779661 2493.5593220339 2434.98305084746 2402.74576271186 2363.37288135593 2300.38983050847 2283
"3" 3 "aI" "M" 2437 2413.03389830508 2422 2427.1186440678 2444.5593220339 2467.86440677966 2478.16949152542 2508.06779661017 2535.98305084746 2531.18644067797 2554
"4" 4 "aU" "M" 2283 2439.98305084746 2579.5593220339 2598.66101694915 2601.61016949153 2669.76271186441 2738.50847457627 2747.35593220339 2722.03389830508 2692.74576271186 2674
"5" 5 "aI" "M" 2205 2416.64406779661 2451.37288135593 2416.40677966102 2387.18644067797 2361.98305084746 2295.93220338983 2262.62711864407 2273.91525423729 2450.8813559322 2537
"6" 6 "aI" "M" 2478 2562.76271186441 2434.83050847458 2306.20338983051 2270.57627118644 2293.37288135593 2351.54237288136 2352.35593220339 2605.76271186441 2371.42372881356 2391
"7" 7 "aU" "M" 2847 2851.49152542373 2860.52542372881 2829.32203389831 2762.98305084746 2723.22033898305 2698.30508474576 2660 2660 2660 2600
"8" 8 "OY" "M" 2511 2473.35593220339 2479.28813559322 2445.5593220339 2369.06779661017 2380.66101694915 2354.79661016949 2326.50847457627 2377.64406779661 2335.18644067797 2310
"9" 9 "OY" "M" 2694 2570.91525423729 2541.83050847458 2505.76271186441 2440.16949152542 2378.32203389831 2327.62711864407 2285.45762711864 2270.72881355932 2388.27118644068 2468
"10" 10 "aI" "M" 2422 2419.22033898305 2382.42372881356 2387.5593220339 2414.47457627119 2402.94915254237 2370.91525423729 2381.27118644068 2398.84745762712 2372.50847457627 2214
"11" 11 "aU" "M" 2365 2451.30508474576 2585.5593220339 2630.57627118644 2645.22033898305 2651.54237288136 2644.08474576271 2639.4406779661 2638.35593220339 2611.98305084746 2596
"12" 12 "aI" "M" 2520 2537.81355932203 2590.54237288136 2547.45762711864 2337.06779661017 2356.05084745763 2476.22033898305 2417.50847457627 2444.62711864407 2130.25423728814 2150
"13" 13 "OY" "M" 2139 2869.20338983051 2825.45762711864 2678.69491525424 2569.22033898305 2457.84745762712 2374.05084745763 2268.32203389831 2247.49152542373 2187.64406779661 1958
"14" 14 "aI" "M" 2518 2484.77966101695 2453.61016949153 2469.03389830508 2474.71186440678 2476.96610169492 2511.77966101695 2492.79661016949 2429.86440677966 2388.08474576271 2338
"15" 15 "aI" "M" 2509 2606 2621.06779661017 2541.72881355932 2502 2485.13559322034 2492.06779661017 2469.47457627119 2431.30508474576 2449.15254237288 2283
"16" 16 "aI" "M" 2477 2505.27118644068 2532.86440677966 2487.16949152542 2426.25423728814 2346.77966101695 2337.89830508475 2336.01694915254 2326.52542372881 2349.62711864407 2350
"17" 17 "aI" "M" 2289 2242.38983050847 2242.30508474576 2253.96610169492 2262.35593220339 2250.22033898305 2281.57627118644 2318.13559322034 2356.37288135593 2346.83050847458 2302
"18" 18 "aI" "M" 2642 2638.79661016949 2603.86440677966 2501.96610169492 2498.10169491525 2492.61016949153 2508.77966101695 2531.32203389831 2535.35593220339 2533.10169491525 2519
"19" 19 "aU" "M" 2495 2584.08474576271 2719.32203389831 2755.23728813559 2809.08474576271 2909.84745762712 2864.32203389831 2620.83050847458 2390.81355932203 2779.74576271186 2628
"20" 20 "aU" "M" 2466 2459.42372881356 2474.16949152542 2498.8813559322 2500.89830508475 2505.64406779661 2523.54237288136 2464.72881355932 2431.10169491525 2465.20338983051 2464
"21" 21 "aI" "M" 1910 2035.4406779661 2341.18644067797 2336.54237288136 2330.25423728814 2367.91525423729 2378.89830508475 2401.52542372881 2451.77966101695 2451.79661016949 2051
"22" 22 "OY" "M" 2024 2427.01694915254 2893.4406779661 2527.8813559322 2504.32203389831 2459.76271186441 2396.64406779661 2348.23728813559 2314.33898305085 2318.77966101695 2364
"23" 23 "aI" "M" 2292 2291.49152542373 2306.28813559322 2331.84745762712 2353.77966101695 2337.84745762712 2332.08474576271 2320.93220338983 2351.16949152542 2398.69491525424 2397
"24" 24 "aI" "M" 2116 2121.57627118644 2097.47457627119 2181.79661016949 2242.81355932203 2282.38983050847 2343.16949152542 2392.03389830508 2341.1186440678 2275.10169491525 2342
"25" 25 "aI" "M" 2529 2539.69491525424 2512.57627118644 2494.32203389831 2495.8813559322 2472.81355932203 2482.57627118644 2483.1186440678 2469.84745762712 2455.20338983051 2409
"26" 26 "aI" "M" 2098 2194.94915254237 2193.76271186441 2246.49152542373 2294.83050847458 2320.67796610169 2326.77966101695 2308.16949152542 2244.16949152542 2201.35593220339 2170
"27" 27 "aI" "M" 2236 2275.37288135593 2305.20338983051 2331.38983050847 2343.94915254237 2320 2293.20338983051 2384.23728813559 2329.86440677966 2337.52542372881 2366
"28" 28 "aU" "M" 2529 2495.93220338983 2554.91525423729 2564.50847457627 2564.22033898305 2601.96610169492 2593.71186440678 2576.93220338983 2557.38983050847 2548.4406779661 2532
"29" 29 "OY" "M" 2445 2428.28813559322 2380.71186440678 2351.15254237288 2307.71186440678 2263.79661016949 2219.33898305085 2238.94915254237 2334.61016949153 2378.15254237288 2446
