"sample" "diphtong" "speaker" "T1_0%" "T1_10%" "T1_20%" "T1_30%" "T1_40%" "T1_50%" "T1_60%" "T1_70%" "T1_80%" "T1_90%" "T1_100%"
"1" 1 "aI" "M" 628 706.169491525424 724.762711864407 720.576271186441 721.847457627119 682.694915254237 613.898305084746 565.813559322034 535.220338983051 504.508474576271 333
"2" 2 "aI" "M" 524 567.457627118644 615.101694915254 629.203389830509 653.915254237288 680.728813559322 719.033898305085 694.067796610169 586.728813559322 545.64406779661 470
"3" 3 "aI" "M" 545 616.440677966102 655.067796610169 643.033898305085 650.067796610169 621.915254237288 602.983050847458 527.694915254237 441.813559322034 318.033898305085 227
"4" 4 "aU" "M" 456 529.491525423729 585.203389830509 595.101694915254 594.508474576271 579.135593220339 567.491525423729 521.542372881356 483.322033898305 441.93220338983 394
"5" 5 "aI" "M" 357 540.932203389831 624.152542372881 638.423728813559 632.796610169491 615.372881355932 583.661016949153 526.491525423729 465.135593220339 354.220338983051 221
"6" 6 "aI" "M" 580 678.983050847458 680 643.050847457627 620 600 636.915254237288 537.949152542373 521.728813559322 365.576271186441 348
"7" 7 "aU" "M" 560 560 540 541 531.661016949153 519.28813559322 506.406779661017 486.474576271186 420 387.457627118644 320
"8" 8 "OY" "M" 581 588.915254237288 588.932203389831 604.033898305085 613.677966101695 593.338983050847 550.389830508475 519.542372881356 516 504.881355932203 502
"9" 9 "OY" "M" 635 610.271186440678 611.389830508475 620 614.152542372881 570.372881355932 526.762711864407 481.203389830508 413.762711864407 353.474576271186 267
"10" 10 "aI" "M" 807 755.322033898305 727.898305084746 732.135593220339 659.016949152542 564.932203389831 531.983050847458 475.864406779661 400.491525423729 367.372881355932 337
"11" 11 "aU" "M" 480 517.440677966102 539.610169491525 552.423728813559 560.322033898305 560 560 554.745762711864 535.338983050847 539.593220338983 317
"12" 12 "aI" "M" 497 607.305084745763 654.610169491525 680.813559322034 680.779661016949 616.627118644068 554.305084745763 475.64406779661 406.661016949153 421.847457627119 376
"13" 13 "OY" "M" 433 518.932203389831 530.593220338983 547.796610169491 551.610169491525 545.779661016949 530.898305084746 487.898305084746 436.64406779661 407.016949152542 339
"14" 14 "aI" "M" 466 557.033898305085 628.796610169491 662.898305084746 671.067796610169 647.491525423729 604.406779661017 564.474576271186 513.322033898305 470.508474576271 441
"15" 15 "aI" "M" 530 631.28813559322 660.576271186441 683.949152542373 689 675.338983050847 625.508474576271 562.067796610169 455.271186440678 402.474576271186 308
"16" 16 "aI" "M" 522 630.898305084746 696.389830508475 712.338983050847 701.457627118644 662.64406779661 629.237288135593 559.050847457627 502.813559322034 449.389830508475 406
"17" 17 "aI" "M" 789 701.694915254237 678.372881355932 649.237288135593 575.406779661017 538.627118644068 517.237288135593 478.406779661017 410.101694915254 376.305084745763 305
"18" 18 "aI" "M" 377 482.830508474576 547.525423728814 586.35593220339 615.830508474576 629.694915254237 618.169491525424 574.152542372881 538.983050847458 522.305084745763 490
"19" 19 "aU" "M" 718 722.64406779661 662.627118644068 637.406779661017 575.35593220339 521.593220338983 490.084745762712 464.915254237288 448.694915254237 428.847457627119 293
"20" 20 "aU" "M" 560 582.067796610169 602.847457627119 599.423728813559 597.694915254237 591.237288135593 576.254237288136 540.661016949153 492.101694915254 452.237288135593 423
"21" 21 "aI" "M" 516 569.627118644068 597.610169491525 608.966101694915 612.033898305085 597.474576271186 579.169491525424 553.237288135593 523.830508474576 445.711864406779 281
"22" 22 "OY" "M" 373 481.305084745763 502 504 508.508474576271 515.423728813559 511.508474576271 506.627118644068 476.983050847458 449.661016949153 398
"23" 23 "aI" "M" 444 496.101694915254 543.203389830509 568.457627118644 570.677966101695 566.389830508475 558.084745762712 541.864406779661 518.338983050847 466.067796610169 380
"24" 24 "aI" "M" 555 602.847457627119 641.067796610169 672.28813559322 677.661016949153 661.932203389831 628.728813559322 577.372881355932 533.474576271186 496.271186440678 246
"25" 25 "aI" "M" 474 499.220338983051 500 498.677966101695 499.762711864407 505.389830508475 496.457627118644 485.203389830508 472.084745762712 443.440677966102 385
"26" 26 "aI" "M" 440 460.338983050847 480 481.016949152542 500 507.033898305085 583 579.559322033898 548.033898305085 496.271186440678 420
"27" 27 "aI" "M" 534 582.966101694915 607.864406779661 623.101694915254 606.322033898305 580.898305084746 543.627118644068 479.610169491525 436.71186440678 437.864406779661 384
"28" 28 "aU" "M" 468 499.983050847458 520.762711864407 539.610169491525 544.796610169491 544.254237288136 539.169491525424 515.440677966102 505.423728813559 502.254237288136 800
"29" 29 "OY" "M" 641 596.203389830509 601.457627118644 588.305084745763 586.864406779661 583.796610169491 552.322033898305 498.254237288136 462.203389830509 429.813559322034 397
"30" 30 "aU" "M" 494 515.898305084746 527.016949152542 530.881355932203 522.949152542373 510.64406779661 493.610169491525 471.322033898305 443.677966101695 426.28813559322 378
"31" 31 "aI" "M" 526 579.847457627119 615.457627118644 663.694915254237 715.016949152542 706.186440677966 686.271186440678 623.762711864407 543.406779661017 495.169491525424 471
"32" 32 "aI" "M" 417 499.474576271186 582.762711864407 634.847457627119 627.406779661017 610.966101694915 593.237288135593 563.813559322034 520.050847457627 467.966101694915 395
"33" 33 "OY" "M" 448 506.830508474576 537.389830508475 549 551.28813559322 539.135593220339 519.525423728814 450.728813559322 325.508474576271 162.237288135593 151
"34" 34 "aI" "M" 500 535.932203389831 544 549.35593220339 558.559322033898 569 563.576271186441 541.610169491525 510.813559322034 475.220338983051 407
"35" 35 "aI" "M" 480 591.016949152542 624.593220338983 627.406779661017 631.186440677966 615.474576271186 596.932203389831 566.864406779661 528.949152542373 477.898305084746 450
"36" 36 "aI" "M" 443 506.101694915254 569.525423728814 589.186440677966 594.71186440678 590.966101694915 585.559322033898 573.305084745763 571.576271186441 531.525423728814 449
"37" 37 "aI" "M" 599 616.237288135593 629.271186440678 633.898305084746 623.508474576271 597.610169491525 544.881355932203 481.779661016949 446.28813559322 435.084745762712 425
"38" 38 "aI" "M" 685 715.254237288136 678.677966101695 658.949152542373 609.389830508475 520.152542372881 481.406779661017 446.983050847458 428.864406779661 410.050847457627 382
"39" 39 "aI" "M" 510 535.101694915254 539.881355932203 541.661016949153 543.762711864407 547 544.745762711864 535.661016949153 526.661016949153 503.372881355932 417
"40" 40 "aI" "M" 500 577.186440677966 661.474576271186 687.372881355932 676.338983050847 647.830508474576 594.338983050847 509.915254237288 448.067796610169 422.28813559322 398
"41" 41 "aU" "M" 501 548.067796610169 557.677966101695 556.949152542373 559.28813559322 555.305084745763 546.694915254237 531.016949152542 519.016949152542 469.135593220339 477
"42" 42 "aI" "M" 562 671.372881355932 712.28813559322 704.525423728814 698.220338983051 675.983050847458 619.932203389831 562.118644067797 491.762711864407 453.830508474576 433
"43" 43 "aI" "M" 478 568.305084745763 597.152542372881 639.542372881356 647.542372881356 630.728813559322 604.508474576271 580.796610169491 560.677966101695 498.627118644068 432
"44" 44 "OY" "M" 465 483.525423728814 517.745762711864 532.542372881356 524.779661016949 502.559322033898 468.677966101695 439.067796610169 425.016949152542 422.745762711864 366
"45" 45 "aI" "M" 609 634.271186440678 655.813559322034 691.983050847458 675.593220338983 630.491525423729 578.457627118644 546.050847457627 466.338983050847 278.084745762712 176
"46" 46 "aI" "M" 515 564.728813559322 591.508474576271 595.593220338983 596.457627118644 582.440677966102 544.949152542373 504.593220338983 476.593220338983 445.254237288136 394
"47" 47 "aU" "M" 462 499.491525423729 522.71186440678 545.067796610169 565.338983050847 573.677966101695 569.372881355932 563.203389830509 530.559322033898 480.830508474576 415
"48" 48 "aI" "M" 529 592.186440677966 654.966101694915 700.71186440678 687.152542372881 712.440677966102 684.661016949153 635.118644067797 561.050847457627 462.779661016949 213
"49" 49 "aI" "M" 458 541.491525423729 614.966101694915 657 651.135593220339 650.796610169491 614.728813559322 579.915254237288 555.016949152542 532.033898305085 493
"50" 50 "aI" "M" 539 602.440677966102 668.779661016949 693.576271186441 701.203389830509 689.050847457627 625.508474576271 599.559322033898 508.576271186441 424.474576271186 339
"51" 51 "aI" "M" 656 585.457627118644 641.423728813559 683.677966101695 647.169491525424 640.508474576271 557.864406779661 513.389830508475 479.016949152542 457.016949152542 415
"52" 52 "aU" "M" 680 680 680.474576271186 679.28813559322 644.152542372881 613.050847457627 567.237288135593 528.220338983051 498.203389830508 487.745762711864 475
"53" 53 "aI" "M" 506 561.593220338983 590.28813559322 609.372881355932 621.745762711864 604.932203389831 585.237288135593 582 554.762711864407 502.966101694915 428
"54" 54 "aU" "M" 679 660.406779661017 640.762711864407 614.440677966102 583.338983050847 561.389830508475 546.033898305085 530.694915254237 493.101694915254 449.322033898305 256
"55" 55 "aI" "M" 539 560.28813559322 577.118644067797 607.389830508475 618.28813559322 593.661016949153 552.64406779661 496.220338983051 469.661016949153 422.796610169491 377
"56" 56 "aI" "M" 553 567.35593220339 599.237288135593 628.033898305085 635.542372881356 630.254237288136 595.28813559322 536.423728813559 491.966101694915 411 320
"57" 57 "aI" "M" 561 600.508474576271 631.271186440678 649.983050847458 655 651.440677966102 645.457627118644 608.169491525424 531.35593220339 466.271186440678 426
"58" 58 "aI" "M" 491 667 640.830508474576 636.745762711864 659 635.152542372881 620.135593220339 554.694915254237 476.576271186441 446.186440677966 415
"59" 59 "OY" "M" 462 525.898305084746 537.898305084746 560.423728813559 571 574.372881355932 574.542372881356 547.881355932203 473.203389830508 381.762711864407 284
"60" 60 "aI" "M" 542 581.169491525424 597.28813559322 619.932203389831 615.389830508475 609.559322033898 557.661016949153 522.050847457627 517.135593220339 487.237288135593 425
"61" 61 "aI" "M" 501 537.64406779661 574.983050847458 616.796610169491 653.152542372881 643.966101694915 613.983050847458 576.661016949153 561.271186440678 550.932203389831 577
"62" 62 "aU" "M" 749 682.881355932203 626.186440677966 600.71186440678 563.576271186441 520.915254237288 439.610169491525 451 393.576271186441 309.610169491526 530.605504587156
